TIMESTAMP,CONTRACT,OPEN,HIGH,LOW,CLOSE,TURNOVER
2019-12-13,JAN20,946.9,950.4,924.7,928.8,24392
2019-12-16,JAN20,930.1,938.3,927.8,931.3,20757
2019-12-18,JAN20,929.8,938.3,925.4,935.7,17913
2019-12-19,JAN20,938.0,941.4,928.2,935.5,23173
2019-12-20,JAN20,936.7,940.0,910.8,913.8,37318
2019-12-23,JAN20,914.6,941.4,912.2,938.4,30480
2019-12-24,JAN20,937.3,948.2,928.9,942.8,14800
2019-12-26,JAN20,945.6,963.5,941.2,953.5,15459
2019-12-27,APR20,954.0,961.4,948.7,956.6,22250
2019-12-30,APR20,954.0,967.9,951.9,965.4,16743
2019-12-31,APR20,964.0,990.7,963.4,977.8,18140
2020-01-02,APR20,972.0,998.3,971.8,985.0,23053
2020-01-03,APR20,985.8,1001.4,984.9,990.3,16984
2020-01-06,APR20,991.0,999.0,960.6,966.2,25134
2020-01-07,APR20,969.0,981.8,961.7,971.6,20310
2020-01-09,APR20,958.7,976.5,952.5,972.0,17820
2020-01-10,APR20,972.9,988.8,967.2,986.0,14630
2020-01-13,APR20,983.6,984.6,969.1,982.1,13903
2020-01-14,APR20,978.4,989.8,970.2,987.3,41025
2020-01-16,APR20,1027.9,1046.7,998.4,1001.2,36564
2020-01-17,APR20,1009.0,1033.6,1007.5,1024.8,24303
2020-01-21,APR20,1027.0,1034.9,993.1,1007.5,37968
2020-01-22,APR20,1005.5,1023.2,995.9,1021.3,18455
2020-01-23,APR20,1018.4,1025.5,1000.8,1007.3,18431
2020-01-24,APR20,1008.3,1021.9,1004.1,1010.6,15901
2020-01-27,APR20,1016.4,1016.4,987.1,991.7,23237
2020-01-28,APR20,989.6,996.9,983.2,995.0,20621
2020-01-29,APR20,991.0,1000.3,974.1,975.3,17486
2020-01-30,APR20,980.1,985.0,965.5,980.5,17752
2020-01-31,APR20,980.6,986.9,959.2,961.9,21772
2020-02-03,APR20,962.7,976.2,954.3,970.7,19857
2020-02-04,APR20,970.8,985.3,960.9,966.1,18506
2020-02-05,APR20,966.3,989.4,963.5,987.1,17463
2020-02-06,APR20,987.0,991.7,963.1,967.4,19205
2020-02-07,APR20,966.2,978.8,961.3,969.2,16394
2020-02-10,APR20,970.3,978.1,956.3,966.9,14110
2020-02-11,APR20,966.7,977.0,962.6,973.5,13271
2020-02-12,APR20,973.5,975.1,957.2,967.3,17122
2020-02-13,APR20,964.7,977.8,963.5,974.7,15309
2020-02-14,APR20,971.6,979.1,965.7,968.8,12023
2020-02-18,APR20,967.6,996.4,966.0,993.9,24359
2020-02-19,APR20,993.9,1021.0,993.9,1004.5,30313
2020-02-20,APR20,1010.0,1014.0,974.4,979.0,29011
2020-02-21,APR20,982.2,990.8,972.9,976.1,22110
2020-02-24,APR20,976.7,981.9,961.3,974.2,25755
2020-02-25,APR20,968.9,972.1,922.6,932.3,36686
2020-02-26,APR20,928.7,937.7,908.9,914.8,38193
2020-02-27,APR20,914.7,924.8,898.4,905.5,30918
2020-02-28,APR20,903.7,906.7,846.2,864.7,50874
2020-03-02,APR20,858.0,885.4,851.0,859.4,33047
2020-03-03,APR20,862.1,882.0,859.3,869.3,29281
2020-03-04,APR20,878.0,889.4,866.6,875.2,22795
2020-03-05,APR20,875.2,876.1,856.6,865.7,20911
2020-03-06,APR20,866.2,905.9,855.2,896.4,41989
2020-03-09,APR20,904.6,916.1,860.9,862.8,30313
2020-03-10,APR20,863.4,892.0,862.1,869.4,46063
2020-03-11,APR20,872.0,886.6,862.9,868.2,19638
2020-03-12,APR20,863.5,868.8,750.2,781.8,47661
2020-03-13,APR20,768.4,818.1,736.8,743.9,40381
2020-03-16,APR20,769.4,775.0,562.0,657.7,46063
2020-03-17,APR20,666.0,718.4,600.0,665.3,33063
2020-03-18,APR20,663.3,681.8,603.4,605.0,32735
2020-03-19,APR20,629.6,648.4,585.3,596.8,27334
2020-03-20,APR20,590.9,639.9,589.0,622.5,24189
2020-03-23,APR20,609.9,651.1,594.6,627.5,24014
2020-03-24,APR20,648.8,714.6,646.6,701.7,27494
2020-03-25,APR20,714.0,747.9,708.5,745.5,23788
2020-03-26,APR20,739.6,747.2,704.9,737.1,17659
2020-03-27,JLY20,739.5,755.4,728.5,741.6,13378
2020-03-30,JLY20,736.0,745.1,710.9,723.8,13587
2020-03-31,JLY20,724.7,737.5,716.3,729.9,10216
2020-04-01,JLY20,721.9,727.7,701.2,717.8,10168
2020-04-02,JLY20,719.2,734.9,712.8,730.0,8178
2020-04-03,JLY20,730.9,731.0,710.8,718.1,7321
2020-04-06,JLY20,718.8,741.6,718.8,732.0,8083
2020-04-07,JLY20,739.0,750.9,732.2,745.0,8963
2020-04-08,JLY20,736.0,760.2,725.7,733.6,10559
2020-04-09,JLY20,735.8,757.3,731.7,748.6,10333
2020-04-13,JLY20,751.4,756.3,741.6,749.8,6471
2020-04-14,JLY20,753.0,838.2,751.2,819.7,23748
2020-04-15,JLY20,819.7,831.9,796.4,804.6,11689
2020-04-16,JLY20,804.5,820.5,779.9,793.3,11040
2020-04-17,JLY20,809.7,813.2,784.5,785.3,7880
2020-04-20,JLY20,789.1,803.1,785.3,796.0,5736
2020-04-21,JLY20,787.5,791.5,716.8,758.4,18194
2020-04-22,JLY20,756.8,778.0,750.2,765.3,6823
2020-04-23,JLY20,773.7,814.3,766.7,788.0,9905
2020-04-24,JLY20,790.4,794.8,764.6,773.8,6891
2020-04-27,JLY20,780.8,788.3,767.6,777.0,4730
2020-04-28,JLY20,781.2,801.5,771.3,795.6,7993
2020-04-29,JLY20,794.8,829.5,792.2,799.6,11640
2020-04-30,JLY20,807.7,823.3,787.7,813.0,10997
2020-05-01,JLY20,806.5,814.2,770.0,773.9,10418
